Player_num,player,team,YAR,DVOA,VOA,QBR,pass,yards,Eyds,TD,FK,FL,INT,comp_perc,ALEX,year,completions,yds_per_comp,DYAR_per_comp,Eyds_per_comp,DYAR
520,R.Tannehill,MIA,86,-0.099,-0.085,49.7,517,3069,2694,12,2,3,13,0.59,0.1,2012,302,10.1,0.1,8.9,39
521,R.Wilson,SEA,564,0.029,0.038,58.3,598,3586,3762,34,6,4,11,0.63,1.5,2017,374,9.6,1.4,10.1,530
522,R.Wilson,SEA,637,0.113,0.102,63.3,471,3090,3317,35,4,2,6,0.67,2.8,2018,315,9.8,2.1,10.5,673
523,R.Wilson,SEA,1073,0.243,0.190,69.8,561,3788,4599,31,4,1,5,0.67,3.7,2019,373,10.2,3.4,12.3,1265
524,R.Wilson,SEA,599,0.040,0.048,57.1,592,3941,3804,21,5,1,11,0.65,0.9,2016,387,10.2,1.5,9.8,569
525,R.Wilson,SEA,1159,0.243,0.234,68.6,526,3744,4311,34,1,2,8,0.69,2.2,2015,361,10.4,3.3,11.9,1190
526,R.Wilson,SEA,488,0.055,0.050,69.7,495,3241,3128,20,6,0,7,0.63,0.3,2014,314,10.3,1.6,10.0,503
527,R.Wilson,SEA,699,0.156,0.131,67.2,453,3070,3364,26,5,5,8,0.64,1.8,2013,290,10.6,2.7,11.6,770
528,R.Wilson,SEA,741,0.197,0.150,74.8,432,2935,3467,26,3,3,9,0.65,2,2012,279,10.5,3.1,12.4,872
529,S.Bradford,MIN,131,0.442,0.316,72.4,48,342,476,3,0,0,0,0.74,-1.7,2017,36,9.6,4.7,13.3,169
530,S.Bradford,ARI,-268,-0.508,-0.611,27.9,86,366,143,2,1,2,4,0.63,2.2,2018,54,6.8,-4.0,2.7,-213
531,S.Bradford,MIN,571,0.022,0.038,53.1,589,3576,3753,20,4,5,5,0.72,-1.2,2016,422,8.5,1.2,8.9,510
532,S.Bradford,PHI,221,-0.082,-0.050,39.2,560,3512,3027,19,4,1,14,0.65,-0.5,2015,366,9.6,0.3,8.3,107
533,S.Bradford,STL,387,0.052,0.097,56.9,277,1602,1910,14,1,1,4,0.61,1.9,2013,168,9.5,1.8,11.4,304
534,S.Bradford,STL,245,-0.008,-0.046,52.9,580,3457,3545,21,4,1,12,0.60,1.3,2012,350,9.9,1.1,10.1,388
535,S.Bradford,STL,-374,-0.240,-0.260,31.4,396,1884,1587,6,3,6,6,0.54,0.9,2011,213,8.9,-1.5,7.5,-325
536,S.Bradford,STL,-12,-0.156,-0.113,46.9,622,3262,2997,18,5,2,13,0.60,0.1,2010,376,8.7,-0.5,8.0,-186
537,S.Darnold,NYJ,-139,-0.152,-0.162,45.9,445,2653,2062,17,2,1,15,0.58,1.1,2018,258,10.3,-0.4,8.0,-110
538,S.Darnold,NYJ,-129,-0.204,-0.152,43.6,475,2819,2136,19,5,3,13,0.62,2.5,2019,295,9.5,-1.0,7.2,-290
539,S.Hill,MIN,39,-0.044,0.061,57.8,36,235,200,0,0,0,0,0.54,6.7,2016,20,12.0,0.8,10.2,15
